293,61,10,Staff,0.23
302,65,3,Manager,0.2
303,66,1,Partner,1
304,66,3,,4
305,66,3,Manager,19
306,69,1,Partner,5
307,69,3,Manager,46.45
308,69,8,Senior,113.37
309,69,7,Senior,0
310,72,1,Partner,1
311,72,8,Senior,16.09
312,72,17,Staff,0
313,72,3,Manager,4
321,76,3,Manager,1.75
322,78,1,Partner,2
323,78,6,Senior,68.25
324,78,9,Experienced Staff,0.1
325,78,16,Staff,0
326,78,17,Staff,0
327,78,3,Manager,19.1
328,79,1,Partner,26.99
329,79,3,Manager,83.65
330,79,18,Staff,0
331,79,12,Staff,134.06
332,134,8,Senior,6.91
333,134,1,Partner,1
334,134,3,Manager,1
335,134,16,Staff,0
336,134,11,Staff,17
337,134,9,Experienced Staff,0
338,136,8,Senior,5.5
339,136,1,Partner,1
340,136,3,Manager,0
341,136,9,Experienced Staff,0
342,136,11,Staff,5
343,136,16,Staff,0
344,80,1,Partner,1
345,80,3,Manager,2.8
346,80,3,Manager,14
347,83,1,Partner,6
348,83,3,Manager,49.95
349,83,16,Staff,0
350,83,8,Senior,131.5
357,91,3,Manager,1.55
358,91,8,Senior,12.36
359,92,9,Experienced Staff,47.62
360,92,1,Partner,4
361,92,20,Manager,0
362,92,16,Staff,0
363,92,17,Staff,0
364,92,3,Manager,16.5
365,93,6,Senior,68.45
366,93,1,Partner,4
367,93,16,Staff,1.3
368,93,10,Staff,0.17
369,93,20,Manager,0
370,93,9,Experienced Staff,0
371,93,12,Staff,0
372,93,3,Manager,24.95
376,96,9,Experienced Staff,51.45
377,96,3,Manager,15.9
378,96,1,Partner,2
379,96,17,Staff,0
380,96,16,Staff,0
381,96,20,Manager,0
382,96,2,Partner,0
383,96,12,Staff,2.36
391,99,1,Partner,1.7
392,99,9,Experienced Staff,7.43
393,99,3,Manager,16.45
394,99,8,Senior,0.56
395,172,1,Partner,1
396,172,7,Senior,3
397,172,12,Staff,10
398,47,6,Senior,16.81
399,47,1,Partner,0
400,47,16,Staff,0
401,47,3,Manager,1.1
402,48,6,Senior,7.2
403,48,11,Staff,13
404,48,1,Partner,1
405,48,16,Staff,0
406,48,9,Experienced Staff,0
407,48,3,Manager,0
408,100,1,Partner,0.33
409,100,6,Senior,1.35
410,100,16,Staff,1.8
411,100,9,Experienced Staff,14.19
412,100,3,Manager,0.6
413,100,2,Partner,1.5
414,101,1,Partner,2
415,101,3,Manager,53.25
416,101,8,Senior,46
417,101,16,Staff,0
418,101,11,Staff,36
419,50,16,Staff,8.28
420,50,9,Experienced Staff,10.25
421,50,6,Senior,12
422,50,12,Staff,8
423,50,3,Manager,4.25
424,51,6,Senior,14.9
425,51,1,Partner,1
426,51,16,Staff,0
427,51,3,Manager,1.6
428,102,6,Senior,1.48
429,102,4,Manager,54
430,102,1,Partner,3
431,102,10,Staff,0.49
432,102,20,Manager,0
433,102,16,Staff,0
434,102,7,Senior,0
435,102,3,Manager,11.15
439,186,7,Senior,0
440,186,3,Manager,0
441,106,1,Partner,2.2
442,106,6,Senior,42.71
443,106,16,Staff,0
444,106,9,Experienced Staff,0
445,106,3,Manager,7
446,107,3,Manager,17.5
447,107,1,Partner,3
448,107,8,Senior,66.74
457,111,6,Senior,5.2
458,111,16,Staff,19.89
459,111,9,Experienced Staff,34.34
460,111,3,Manager,55.7
461,111,12,Staff,36
462,111,15,Staff,1811.97
463,113,1,Partner,3.5
464,113,6,Senior,12.17
465,113,3,Manager,3.4
469,115,1,Partner,15.72
470,115,16,Staff,0.14
471,115,9,Experienced Staff,0.24
472,115,3,Manager,130.55
473,115,11,Staff,3.51
474,115,7,Senior,240.65
475,115,17,Staff,0
476,115,8,Senior,64.34
477,117,1,Partner,9.77
478,117,16,Staff,0.32
479,117,3,Manager,51.9
480,117,7,Senior,181.31
481,117,17,Staff,0
482,117,8,Senior,25.41
487,26,1,Partner,0.75
488,26,3,Manager,0.75
489,26,6,Senior,9.25
490,26,9,Experienced Staff,0.25
491,119,1,Partner,12.64
492,119,16,Staff,0.6
493,119,9,Experienced Staff,103.29
494,119,11,Staff,97.57
495,120,9,Experienced Staff,14.85
496,120,7,Senior,7
502,121,1,,4
503,121,16,Staff,6.31
504,121,9,Experienced Staff,11.23
505,121,11,Staff,20.15
508,122,9,Experienced Staff,2.52
509,122,11,Staff,0
513,123,1,,1
514,123,9,Experienced Staff,6.29
515,123,12,Staff,48.78
518,125,6,Senior,8.36
519,125,16,Staff,0.93
520,125,9,Experienced Staff,20.74
521,125,2,Partner,0.1
522,126,16,Staff,9.25
523,126,9,Experienced Staff,10.13
524,126,3,Manager,4.8
525,126,2,Partner,3
526,127,11,Staff,13
527,127,16,Staff,0.9
528,127,9,Experienced Staff,2.94
530,129,1,Partner,17.38
531,129,6,Senior,3.2
532,129,16,Staff,6.5
533,129,9,Experienced Staff,111.9
534,129,11,Staff,24.18
535,129,4,Manager,28.8
536,130,9,Experienced Staff,7.14
537,130,11,Staff,16
559,104,9,Experienced Staff,0.82
560,104,3,Manager,0.2
573,131,1,Partner,16.83
574,131,16,Staff,0
575,131,22,Experienced Staff,0
576,131,11,Staff,72.71
577,131,14,Staff,4.13
578,131,13,Experienced Staff,117.07
579,131,8,Senior,74.35
593,137,1,Partner,2.24
594,137,16,Staff,0.35
595,137,3,Manager,0.4
596,137,8,Senior,17.58
597,1,1,Partner,2
598,1,7,Senior,14.32
599,1,8,Senior,16.2
600,1,11,Staff,0
601,1,16,Staff,0
602,1,20,Manager,0
603,1,10,Staff,0
604,2,1,Partner,0.5
605,2,7,Senior,31.02
606,2,8,Senior,15.24
610,140,1,Partner,2.55
611,140,14,Staff,15.29
612,140,8,Senior,21.63
613,141,1,Partner,0.7
614,141,11,Staff,19.91
615,141,14,Staff,2.5
616,141,8,Senior,7.83
629,142,1,Partner,1
630,142,7,Senior,12.27
631,142,8,Senior,8.58
632,143,16,Staff,32.39
633,143,12,Staff,52.5
634,143,9,Experienced Staff,0.47
635,143,10,Staff,0
636,143,17,Staff,0
637,143,6,Senior,0
638,143,1,Partner,0
639,143,7,Senior,37.69
642,144,1,Partner,6.75
643,144,16,Staff,0.1
644,144,7,Senior,184.07
645,144,8,Senior,94.22
646,144,6,Senior,0
647,144,3,Manager,0
648,144,9,Experienced Staff,0
650,145,1,Partner,0.5
651,145,7,Senior,8.2
652,145,9,Experienced Staff,9
653,146,7,Senior,15.56
654,146,6,Senior,0
657,147,1,Partner,1
658,147,7,Senior,18.15
659,147,2,Partner,0
660,147,8,Senior,15
666,148,16,Staff,0.25
667,148,9,Experienced Staff,0.67
668,148,7,Senior,8.7
669,148,8,Senior,3.98
675,149,1,Partner,1.16
676,149,7,Senior,0.85
677,150,7,Senior,3.61
678,151,1,Partner,0.5
679,151,7,Senior,13.2
680,151,8,Senior,13
681,155,1,Partner,5.74
682,155,16,Staff,7.79
683,155,11,Staff,12.5
684,155,7,Senior,139.06
685,155,8,Senior,112.39
686,156,11,Staff,21.19
687,156,7,Senior,8.05
688,156,8,Senior,10.38
689,157,1,Partner,0.86
690,157,16,Staff,0.78
691,157,9,Experienced Staff,10.23
692,157,7,Senior,16.21
693,159,1,Partner,2
694,159,12,Staff,20.44
695,159,9,Experienced Staff,0
696,159,7,Senior,24.52
697,159,2,Partner,0.25
700,160,9,Experienced Staff,0.45
701,160,11,Staff,1.36
702,161,1,Partner,0
703,161,2,Partner,0
704,161,7,Senior,12.1
705,161,17,Staff,0
706,161,8,Senior,12
711,162,9,Experienced Staff,13.03
712,162,1,Partner,2
713,162,6,Senior,0
714,162,3,Manager,0
715,162,7,Senior,17.57
720,167,1,Partner,1
721,167,12,Staff,22.91
722,167,7,Senior,10.55
723,167,16,Staff,0
724,167,9,Experienced Staff,0
725,167,18,Staff,0
726,167,19,Senior,0
730,168,1,Partner,1
731,168,16,Staff,2.84
732,168,9,Experienced Staff,32.32
733,168,7,Senior,13.31
738,173,1,Partner,0.2
739,173,12,Staff,5.88
740,173,7,Senior,2.6
741,177,7,Senior,2.4
