1,2020,4,20,0.6,20200420,NULL,NULL,NULL
1,2020,5,4,4,20200504,,,
1,2020,5,11,2,20200511,,,
1,2020,10,19,1,20201019,,,
1,2020,11,16,10,20201116,,,
3,2020,1,6,1.75,20200106,,,
3,2020,1,27,2.3,20200127,,,
3,2020,2,3,2.25,20200203,,,
3,2020,2,10,1,20200210,,,
3,2020,2,17,0.1,20200217,,,
3,2020,3,2,0.75,20200302,,,
3,2020,3,9,0.25,20200309,,,
3,2020,3,16,2.25,20200316,,,
3,2020,3,23,7.75,20200323,,,
3,2020,3,30,14.25,20200330,,,
3,2020,4,6,6,20200406,,,
3,2020,4,13,15.3,20200413,,,
3,2020,4,20,30.7,20200420,,,
3,2020,4,27,29.55,20200427,,,
3,2020,5,4,10,20200504,,,
3,2020,5,11,4,20200511,,,
3,2020,5,18,2,20200518,,,
3,2020,10,19,3,20201019,,,
3,2020,11,16,20,20201116,,,
4,2020,2,24,0.2,20200224,,,
4,2020,3,2,0.25,20200302,,,
4,2020,3,9,0.64,20200309,,,
4,2020,3,16,0.85,20200316,,,
4,2020,3,23,5.75,20200323,,,
4,2020,3,30,13.67,20200330,,,
4,2020,4,6,4.31,20200406,,,
4,2020,4,13,1.78,20200413,,,
4,2020,4,20,22.16,20200420,,,
4,2020,4,27,24.44,20200427,,,
4,2020,5,4,10,20200504,,,
4,2020,5,11,4,20200511,,,
4,2020,10,19,1,20201019,,,
4,2020,11,16,20,20201116,,,
5,2020,4,6,0.25,20200406,,,
5,2020,4,13,3.71,20200413,,,
5,2020,4,20,1.1,20200420,,,
5,2020,4,27,17.49,20200427,,,
5,2020,10,19,1,20201019,,,
6,2020,3,2,0.2,20200302,,,
6,2020,3,16,2.86,20200316,,,
6,2020,3,23,0.55,20200323,,,
6,2020,3,30,1.84,20200330,,,
6,2020,4,6,2.73,20200406,,,
6,2020,4,13,10.15,20200413,,,
6,2020,4,20,27.96,20200420,,,
6,2020,4,27,14.98,20200427,,,
6,2020,5,11,1,20200511,,,
6,2020,10,19,1,20201019,,,
6,2020,11,16,20,20201116,,,
7,2020,3,16,0.61,20200316,,,
7,2020,3,23,4,20200323,,,
7,2020,3,30,1.48,20200330,,,
7,2020,4,6,9.18,20200406,,,
7,2020,4,13,2.25,20200413,,,
7,2020,4,20,32.2,20200420,,,
7,2020,4,27,21.84,20200427,,,
7,2020,10,19,1,20201019,,,
7,2020,11,16,20,20201116,,,
11,2020,2,10,1.13,20200210,,,
11,2020,2,24,1.35,20200224,,,
11,2020,3,2,1.4,20200302,,,
11,2020,3,16,3.28,20200316,,,
11,2020,3,23,0.5,20200323,,,
11,2020,10,19,1,20201019,,,
11,2020,12,14,2,20201214,,,
14,2020,1,6,7.25,20200106,,,
14,2020,1,13,6.6,20200113,,,
14,2020,1,20,1.95,20200120,,,
14,2020,1,27,11.75,20200127,,,
14,2020,2,3,7,20200203,,,
14,2020,2,10,33.35,20200210,,,
14,2020,2,17,25.4,20200217,,,
14,2020,2,24,15,20200224,,,
14,2020,3,2,19.75,20200302,,,
14,2020,3,9,5.3,20200309,,,
14,2020,3,16,13.8,20200316,,,
14,2020,3,23,2.75,20200323,,,
14,2020,10,19,2,20201019,,,
14,2020,12,7,2,20201207,,,
14,2020,12,14,20,20201214,,,
15,2020,1,6,2.21,20200106,,,
15,2020,1,13,1.44,20200113,,,
15,2020,1,20,2.28,20200120,,,
15,2020,1,27,2.88,20200127,,,
15,2020,2,3,0.19,20200203,,,
15,2020,2,10,8.25,20200210,,,
15,2020,2,17,13.91,20200217,,,
15,2020,2,24,19.83,20200224,,,
15,2020,3,2,11.07,20200302,,,
15,2020,3,9,8.75,20200309,,,
15,2020,3,16,16.79,20200316,,,
15,2020,3,23,2.9,20200323,,,
15,2020,3,30,0.61,20200330,,,
15,2020,10,19,1,20201019,,,
15,2020,12,7,2,20201207,,,
15,2020,12,14,20,20201214,,,
16,2020,2,17,4.82,20200217,,,
16,2020,2,24,10.75,20200224,,,
16,2020,3,2,8.45,20200302,,,
16,2020,3,9,0.65,20200309,,,
16,2020,3,16,1.15,20200316,,,
16,2020,10,19,1,20201019,,,
16,2020,10,26,1,20201026,,,
17,2020,1,6,2.57,20200106,,,
17,2020,1,13,4.7,20200113,,,
17,2020,1,20,3.09,20200120,,,
17,2020,1,27,1.04,20200127,,,
17,2020,2,3,4.12,20200203,,,
17,2020,2,10,21.71,20200210,,,
17,2020,2,17,28.2,20200217,,,
17,2020,2,24,2.77,20200224,,,
17,2020,3,2,2.77,20200302,,,
17,2020,3,9,0.38,20200309,,,
17,2020,3,16,1.05,20200316,,,
17,2020,10,19,1,20201019,,,
17,2020,10,26,3,20201026,,,
17,2020,12,7,2,20201207,,,
17,2020,12,14,20,20201214,,,
18,2020,2,3,0.25,20200203,,,
19,2020,2,10,7.2,20200210,,,
19,2020,2,17,27.14,20200217,,,
19,2020,2,24,17.77,20200224,,,
19,2020,3,2,7.82,20200302,,,
19,2020,3,16,8,20200316,,,
19,2020,4,6,3,20200406,,,
19,2020,10,19,1,20201019,,,
19,2020,12,7,2,20201207,,,
19,2020,12,14,20,20201214,,,
21,2020,1,20,16,20200120,,,
21,2020,3,16,2.33,20200316,,,
21,2020,6,1,1,20200601,,,
22,2020,1,6,3.55,20200106,,,
22,2020,1,13,3.35,20200113,,,
22,2020,1,20,38.7,20200120,,,
22,2020,1,27,11.7,20200127,,,
22,2020,2,3,9.85,20200203,,,
22,2020,2,10,3.5,20200210,,,
22,2020,2,17,0.1,20200217,,,
22,2020,2,24,1.25,20200224,,,
22,2020,3,2,7.25,20200302,,,
22,2020,3,9,2.5,20200309,,,
22,2020,3,16,6.25,20200316,,,
22,2020,3,23,1.25,20200323,,,
22,2020,6,1,2,20200601,,,
22,2020,11,30,1,20201130,,,
